id,date,city,province,target_name,target_type,incident_type,description,severity,arrests,charges,court_jurisdiction,police_agency,police_file_number,damage_estimate_cad,source,notes
18,2024-01-27,Fredericton,NB,Sgoolai Israel Synagogue,,windows smashed,Multiple windows broken at synagogue on International Holocaust Remembrance Day.,low,,,,,,,https://globalnews.ca/news/10255221/fredericton-sgoolai-israel-synagogue-vandalized-international-holocaust-remembrance-day/,
19,2024-02-15,Ottawa,ON,Ottawa Jewish persons (second-youth co-conspirator arrest),Jewish individuals,co-conspirator terror-plot arrest and expanded charges,"In the same Ottawa terrorism investigation, RCMP laid additional terrorism charges against the first youth and arrested a second unnamed youth co-conspirator. The case was presented as part of the same alleged plot targeting Jewish persons.",elevated,True,First youth: conspiracy to commit murder for the benefit of / in association with a terrorist group; facilitating terrorist activity by instructional material and propaganda. Second youth: conspiracy to commit murder for the benefit of / in association with a terrorist group; facilitating terrorist activity by instructional material and propaganda; facilitating terrorist activity by seeking to acquire a prohibited firearm,Ottawa area youth court,Royal Canadian Mounted Police (RCMP),,,https://www.rcmp-grc.gc.ca/en/news/2024/ottawa-area-youths-arrested-and-charged-terrorist-offences-rcmp,Source states the second youth was a co-conspirator in the same investigation; identities withheld under YCJA.
20,2024-02-22,Montreal,QC,McGill Bronfman Building blockade,campus building / Jewish-associated target,blockade of Jewish-associated building and disruption of classes,"B’nai Brith reported that anti-Israel protesters blockaded the McGill Bronfman Building for about eight hours, blocked all entrances, and forced classes and activities to be cancelled. The building is associated with the Bronfman family, one of Canada’s most prominent Jewish families.",watch,False,,,,,,https://www.bnaibrith.ca/bnai-brith-urges-accountability-following-blockade-of-mcgill-bronfman-building/,Added as a concrete building-targeted campus intimidation/disruption incident.
21,2024-03-01,Toronto,ON,TMU 'Zionism Off Our Campus' signage campaign,campus / Jewish students,hostile signage campaign targeting Zionist/Jewish campus presence,"CIJA’s reporting on the TMU student lawsuit states that in March 2024, students walked through TMU buildings carrying signs reading 'Zionism Off Our Campus,' which Jewish students interpreted as a call for Jews to be removed from campus.",watch,False,,,,,,https://www.cija.ca/tmu_student_suing_university_for_fostering_poisoned_antisemitic_environment,"Dated conservatively to March 1, 2024 because the filing specifies March 2024 but not exact day."
22,2024-03-04,Montreal,QC,Federation CJA,community organization,protest blocked entrances,A protest outside Federation CJA blocked access during an event moved off campus; two men were arrested.,elevated,True,Assault,Quebec / Montreal (exact court not specified in source used),,,,https://thecjn.ca/news/after-concordia-wouldnt-let-a-student-group-hold-an-israel-related-event-on-campus-they-moved-to-federation-cjas-building-where-protesters-blocked-the-entrances/,
23,2024-03-04,Vaughan,ON,Toronto synagogue bomb threat case,,threat to bomb synagogues,Waisuddin Akbari threatened to plant bombs in Toronto synagogues.,elevated,True,,,,,,https://globalnews.ca/news/11094503/waisuddin-akbari-antisemitism-bomb-threat-toronto-synagogues/,
24,2024-03-05,Montreal,QC,Spanish and Portuguese Synagogue,Jewish institution,injunction-triggering protest,A second consecutive night of protests at Jewish institutions contributed to a court injunction creating a 50-metre buffer zone.,watch,False,,,,,,https://thecjn.ca/news/montreal-protest-injunction/,
25,2024-03-07,Thornhill,ON,Beth Avraham Yoseph of Toronto (BAYT),Western civilian target,real-estate expo protest,A large protest and counter-protest outside BAYT resulted in three arrests including for knife possession and assault.,elevated,True,Possession of a weapon for a dangerous purpose; assault; assault with a weapon; possessing weapons dangerous to the public,York Region / Ontario (exact court not specified in source used),,,,https://thecjn.ca/news/a-protest-directed-at-an-israeli-real-estate-expo-at-a-thornhill-synagogue-brought-on-a-jewish-counter-demonstration-and-the-scene-resulted-in-multiple-arrests/,
26,2024-04-19,Toronto,ON,Kehillat Shaarei Torah,synagogue,five windows smashed,Security footage showed an individual using a hammer to smash five windows before Passover.,elevated,False,,,,,,https://thecjn.ca/news/kst-raccoon/,
27,2024-04-26,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,hostage-poster billboard set on fire,One of the first incidents later tied by police to a broader alleged arson and vandalism spree in Toronto.,critical,True,29-count TPS case including advocating genocide; wilful promotion of hatred; public incitement of hatred; five arson counts; mischief / mischief to cultural property; uttering threats; criminal harassment; firearms / prohibited weapons offences; and fraud / stolen-property related counts,"Ontario Court of Justice, 10 Armoury Street, Toronto (bail hearing March 17, 2025); subsequent Superior Court bail review reported",,,,https://thecjn.ca/news/allegedly-motivated-by-hatred/,
28,2024-04-26,Vancouver,BC,Vancouver Art Gallery Samidoun rally glorifying Oct 7 attack,,speech praising Hamas attack,Charlotte Kates praised Oct.7 attack and led chants supporting Hamas.,low,True,,,,,,https://globalnews.ca/news/11199403/charlotte-kates-charge-decision-delay-1-year/,
29,2024-04-27,Toronto,ON,University of Toronto anti-Israel encampment on Front Campus,campus / Jewish students,illegal encampment cited as harming Jewish students' rights and safety,B’nai Brith said the anti-Israel encampment on U of T’s Front Campus caused irreparable harm to the human rights of Jewish members of the university community. The Ontario Superior Court later granted an injunction requiring the encampment’s removal.,watch,False,,,,,,https://www.bnaibrith.ca/court-grants-injunction-at-u-of-t-following-bnai-brith-intervention/,"Dated to the public start period of the encampment; the court injunction was issued July 2, 2024."
30,2024-05-09,Regina,SK,Regina cenotaph anti-Semitic graffiti incident,public monument / anti-Jewish messaging,anti-Israel graffiti and Star of David imagery on cenotaph,"Regional reporting said the Regina cenotaph and other downtown locations were spray-painted with anti-Israel messages and a Star of David, which Saskatchewan officials condemned as anti-Semitic.",low,False,,,Regina Police Service / City of Regina context,,,https://www.cjme.com/2024/05/09/cenotaph-spray-painted-again-as-wave-of-vandalism-hits-regina/,Added as a medium-confidence anti-Jewish public-space incident from regional reporting.
31,2024-05-15,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,repeated vandalism / sign fires,Approximate month-only row capturing one of the repeated Beth Tikvah Toronto incidents described in later police reporting.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
32,2024-05-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
33,2024-05-15,Toronto,ON,Miles Nadal JCC,community centre,protest outside JCC,At least one protest outside the downtown JCC led parents to pick up children early.,watch,False,,,,,,https://thecjn.ca/news/toronto-council-passes-bubble-zone-bylaw-restricting-protests-after-a-lengthy-debate/,
34,2024-05-25,Toronto,ON,Bais Chaya Mushka Elementary School,Jewish institution,first shooting,Gunfire struck the Jewish girls school in the early morning hours.,elevated,False,,,,,,https://thecjn.ca/news/bais-chaya-mushka-elementary-school/,
35,2024-05-29,Montreal,QC,Belz school at Young Israel of Montreal,Jewish institution,School struck by bullets / drive-by style shooting,"Police investigated after bullets struck the Belz school, located at the Young Israel of Montreal synagogue. Reporting said staff discovered signs that at least one or two bullets had hit the building when they arrived on May 29; police were unsure exactly when the shots were fired overnight.",elevated,False,,,Service de police de la Ville de Montréal (SPVM),,,https://globalnews.ca/news/10533648/montreal-jewish-school-hit-by-bullet/,"The Global News reporting states the damage was discovered Wednesday, May 29, 2024; exact firing time was uncertain."
36,2024-05-30,Vancouver,BC,Congregation Schara Tzedeck,Jewish institution,accelerant fire at front doors,An accelerant was used to light a fire at the synagogue front entrance while people were still inside.,watch,False,,,Vancouver Police Department,,,https://thecjn.ca/news/schara-tzedeck/,
37,2024-06-09,Toronto,ON,UJA Walk With Israel / Prosserman JCC,community event,clashes and multiple arrests,Counter-protests and incidents of intimidation at the Walk With Israel resulted in six arrests.,watch,True,Public incitement of hatred; resist peace officer; cause a disturbance; fail to leave premises when directed; obstruct peace officer; assault peace officer; assault; mischief interfere with property,Toronto / Ontario (exact court appearances not publicly specified in the sources used),,,,https://thecjn.ca/news/toronto-ujas-walk-with-israel-sets-a-record-with-50000-people-who-marched-up-bathurst-street/,
38,2024-06-14,Saint-Joseph-du-Lac,QC,Jewish community online hate speech and weapons case (Pascal Tribout),,wilful promotion of hatred toward Jewish community plus firearms offences,RCMP charged Pascal Tribout after investigators found hateful comments targeting the Jewish community alongside a 3D-printed firearms investigation.,watch,True,Wilful promotion of hatred; firearms manufacturing and trafficking offences,Quebec proceedings,,,,https://rcmp.ca/en/news/2024/06/individual-charged-3d-printing-firearms-and-hate-speech,
39,2024-06-15,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,repeated vandalism / sign fires,Approximate month-only row capturing one of the repeated Beth Tikvah Toronto incidents described in later police reporting.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
40,2024-06-15,Toronto,ON,Forest Hill Jewish Centre,Jewish institution,barrage of threatening phone calls,The synagogue received a barrage of threatening phone calls; later court records tied the allegation into a broader case.,critical,True,29-count TPS case including advocating genocide; wilful promotion of hatred; public incitement of hatred; five arson counts; mischief / mischief to cultural property; uttering threats; criminal harassment; firearms / prohibited weapons offences; and fraud / stolen-property related counts,"Ontario Court of Justice, 10 Armoury Street, Toronto (bail hearing March 17, 2025); subsequent Superior Court bail review reported",,,,https://thecjn.ca/news/allegedly-motivated-by-hatred/,
41,2024-06-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
42,2024-06-19,Montreal,QC,Falafel Yoni,business,three projectile holes in front windows; gunfire unconfirmed,"SPVM investigated after three holes were found in the front windows of Falafel Yoni in Mile End. The owner said the business had appeared on online boycott lists and believed it was targeted because it was Israeli-owned, but police said it was still too early to determine whether it was a hate crime or whether the damage came from gunfire.",elevated,False,,,Service de police de la Ville de Montréal (SPVM),,,https://montreal.citynews.ca/2024/06/19/restaurant-targeted-mile-end/,"CityNews reported the discovery on June 19, 2024 and noted police had not confirmed gunfire."
43,2024-06-19,Montreal,QC,Sherbatov Fit,business,windows shattered by object,"The same CityNews report on Falafel Yoni said nearby gym Sherbatov Fit, whose co-owner is Jewish and Israeli-born, also had its front-layer windows shattered by an object around the same period. SPVM told CityNews the damage was not caused by a firearm.",elevated,False,,,Service de police de la Ville de Montréal (SPVM),,,https://montreal.citynews.ca/2024/06/19/restaurant-targeted-mile-end/,Mentioned in the Falafel Yoni CityNews report as a related nearby targeted business.
44,2024-06-30,Toronto,ON,Kehillat Shaarei Torah,Jewish institution,projectile through window,A motorcyclist was reported near the synagogue before a projectile was thrown into a window.,critical,True,29-count TPS case including advocating genocide; wilful promotion of hatred; public incitement of hatred; five arson counts; mischief / mischief to cultural property; uttering threats; criminal harassment; firearms / prohibited weapons offences; and fraud / stolen-property related counts,"Ontario Court of Justice, 10 Armoury Street, Toronto (bail hearing March 17, 2025); subsequent Superior Court bail review reported",,,,https://thecjn.ca/news/allegedly-motivated-by-hatred/,
45,2024-06-30,Toronto,ON,Pride of Israel Synagogue,Jewish institution,windows shattered with rocks,Multiple windows and panes were shattered in an overnight attack around 3 a.m.,elevated,False,,,,,,https://thecjn.ca/news/toronto-synagogue-attacks/,
46,2024-07-10,Edmonton,AB,Victoria Promenade anti-Israel / anti-Jewish graffiti,,graffiti / anti-Jewish intimidation,EPS investigated anti-Israel graffiti and consulted hate crimes unit.,low,False,,,,,,https://edmonton.citynews.ca/2024/07/11/hate-crimes-unit-being-consulted-as-edmonton-police-investigate-anti-israel-graffiti/,
47,2024-07-15,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,repeated vandalism / sign fires,Approximate month-only row capturing one of the repeated Beth Tikvah Toronto incidents described in later police reporting.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
48,2024-07-21,Edmonton,AB,North-central Edmonton graffiti directed at Jewish community,,graffiti / anti-Jewish intimidation,EPS sought suspect after hate-motivated graffiti directed at Jewish community.,low,False,,,,,,https://edmonton.citynews.ca/2024/07/25/edmonton-police-hate-motivated-graffiti-suspect/,
49,2024-07-28,Calgary,AB,Beth Tzedec Congregation / Calgary Jewish Academy area,Jewish institution,pro-Hamas threatening graffiti,Threatening graffiti including references to Hamas Al-Aqsa Flood appeared near a synagogue and Jewish day school.,watch,False,,,,,,https://www.jpost.com/diaspora/antisemitism/article-812682,
50,2024-07-28,Richmond Hill,ON,Potential Toronto Jewish-community threat (Eldidi terrorism case),Jewish community (general),advanced-stage violent terror plot disrupted,"RCMP arrested Ahmed Fouad Mostafa Eldidi and Mostafa Eldidi at a Richmond Hill hotel, alleging they were in the advanced stages of planning a serious, violent attack in Toronto on behalf of ISIS. Public reporting did not identify a Jewish target, but the case is included here at the user's request as a terrorism arrest potentially dangerous to the Jewish community.",critical,True,Participation in the activities of a terrorist group; facilitating terrorist activity; possession of a weapon for dangerous purpose; conspiracy to commit murder. Ahmed Eldidi also faced aggravated assault,"Ontario virtual court appearance scheduled Aug. 1, 2024",Royal Canadian Mounted Police (RCMP),,,https://www.newswire.ca/news-releases/father-and-son-arrested-for-terrorism-offences-823864008.html ; https://toronto.citynews.ca/2024/07/31/father-son-facing-terror-charges-allegedly-planning-violent-toronto-attack-rcmp/,"RCMP publicly announced charges on July 31, 2024; public reporting said the arrests occurred on July 28. Public reporting did not identify a Jewish target."
51,2024-07-31,Toronto,ON,Kehillat Shaarei Torah,Jewish institution,three signs torched,A motorcyclist returned overnight and set fire to three signs outside the synagogue.,elevated,False,,,,,,https://thecjn.ca/news/signs-at-two-toronto-synagogues-torched-overnight-in-hate-motivated-crime-spree/,
52,2024-07-31,Toronto,ON,Pride of Israel Synagogue,Jewish institution,protesters on synagogue steps,"At a solidarity rally one month after the vandalism, protesters gathered at the synagogue and some were removed from the front steps by police.",elevated,False,,,,,,https://thecjn.ca/news/pride-of-israel-synagogue-hosted-a-solidarity-rally-a-month-after-its-windows-were-shattered/,
53,2024-07-31,Toronto,ON,Temple Sinai,synagogue,sign torched,A UJA sign outside Temple Sinai was lit on fire in the same overnight spree.,elevated,False,,,,,,https://thecjn.ca/news/signs-at-two-toronto-synagogues-torched-overnight-in-hate-motivated-crime-spree/,
54,2024-07-31,Toronto,ON,Unnamed North York Jewish school sign,school,sign lit on fire,"Less than 10 minutes after the synagogue sign fire, Toronto police said the same suspect lit a sign on fire in front of a Jewish school in the Avenue Road and Wilson Avenue area. Investigators treated the incident as a suspected hate-motivated offence.",elevated,False,,,Toronto Police Service,,,https://toronto.citynews.ca/2024/07/31/hate-motivated-arson-at-north-york-synagogue-jewish-school/,Linked by police to the same motorcycle-riding suspect as the synagogue sign fire.
55,2024-07-31,Toronto,ON,Unnamed North York synagogue sign,synagogue,sign lit on fire,Toronto police said a suspect on a motorcycle lit a sign on fire in front of a North York synagogue shortly before 3 a.m. Investigators treated the incident as a suspected hate-motivated offence.,elevated,False,,,Toronto Police Service,,,https://toronto.citynews.ca/2024/07/31/hate-motivated-arson-at-north-york-synagogue-jewish-school/,Same suspect was reported to have lit a sign on fire at a Jewish school less than 10 minutes later.
56,2024-08-03,Toronto,ON,Tiferet Israel Congregation,Unknown,sign damaged by fire,A pro-Israel sign was damaged by fire at Tiferet Israel.,critical,True,29-count TPS case including advocating genocide; wilful promotion of hatred; public incitement of hatred; five arson counts; mischief / mischief to cultural property; uttering threats; criminal harassment; firearms / prohibited weapons offences; and fraud / stolen-property related counts,"Ontario Court of Justice, 10 Armoury Street, Toronto (bail hearing March 17, 2025); subsequent Superior Court bail review reported",,,,https://thecjn.ca/news/allegedly-motivated-by-hatred/,
57,2024-08-15,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,repeated vandalism / sign fires,Approximate month-only row capturing one of the repeated Beth Tikvah Toronto incidents described in later police reporting.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
58,2024-08-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
59,2024-08-21,Calgary,AB,House of Jacob-Mikveh Israel,Jewish institution,mass emailed bomb threat,Rabbi Nisan Andrews confirmed the synagogue received the bomb threat email.,watch,False,,,,,,https://edmonton.citynews.ca/2024/08/21/edmonton-synagogues-confirm-they-received-threats/,
60,2024-08-21,Calgary,AB,Temple B’nai Tikvah,Jewish community (general),mass emailed bomb threat,Rabbi Mark Glickman discussed the effect of the Aug. 21 bomb-threat email on Calgary Jewish community.,watch,False,,,,,,https://livewirecalgary.com/2024/08/21/anti-semitic-bomb-threats-target-calgaroys-jewish-community/,
61,2024-08-21,Edmonton,AB,Edmonton synagogue threat wave,,mass email threats,Synagogues in Edmonton received threats as part of nationwide email campaign.,watch,,,,,,,https://edmonton.citynews.ca/2024/08/21/edmonton-synagogues-confirm-they-received-threats/,
62,2024-08-21,Edmonton,AB,Edmonton synagogues cluster,Jewish institution,mass email cluster,Edmonton police received multiple reports from synagogues that they had received the bomb threat email.,watch,False,,,,,,https://edmonton.citynews.ca/2024/08/21/edmonton-synagogues-confirm-they-received-threats/,
63,2024-08-21,London,ON,Beth Tefilah Synagogue,Jewish institution,mass emailed bomb threat,CTV News London identified Beth Tefilah as a local synagogue impacted by the nationwide bomb threat wave.,watch,False,,,,,,https://www.ctvnews.ca/london/article/many-jewish-organizations-receive-identical-bomb-threats-across-canada-including-in-london-ont/,
64,2024-08-21,Montreal,QC,Adath Israel Poale Zedek Anshei Ozeroff,Western civilian target,mass emailed bomb threat,Publicly identified Montreal target in the Aug. 21 nationwide bomb threat wave.,elevated,False,,,,,,https://thecjn.ca/news/bomb-threat/,
65,2024-08-21,Montreal,QC,Beth Israel Beth Aaron Congregation,Western civilian target,mass emailed bomb threat,Publicly identified Montreal target in the Aug. 21 nationwide bomb threat wave.,elevated,False,,,,,,https://montreal.citynews.ca/2024/08/21/synagogues-list-targeting-jewish-institutions/,
66,2024-08-21,Montreal,QC,B'nai Brith Canada,Jewish organization,mass emailed bomb threat,B’nai Brith said its Montreal office was among the locations swept for explosives as a precaution.,elevated,False,,,,,,https://toronto.citynews.ca/2024/08/21/canada-jewish-hospitals-bomb-threats/,
67,2024-08-21,Montreal,QC,Congregation Beth Ora,Western civilian target,mass emailed bomb threat,Publicly identified Montreal target in the Aug. 21 nationwide bomb threat wave.,elevated,False,,,,,,https://montreal.citynews.ca/2024/08/21/synagogues-list-targeting-jewish-institutions/,
68,2024-08-21,Toronto,ON,Bathurst-Sheppard Jewish institutions cluster,Western civilian target,evacuation cluster,Toronto police evacuated buildings in the Bathurst and Sheppard area as a precaution after the mass email threat.,elevated,False,,,,,,https://thecjn.ca/news/bomb-threat/,
69,2024-08-21,Victoria,BC,Congregation Emanu-El,Jewish institution,mass emailed bomb threat,Victoria historic synagogue confirmed it also received the mass bomb threat email.,watch,False,,,,,,https://cheknews.ca/multiple-jewish-organizations-hospitals-across-canada-receive-identical-bomb-threats-1202954/,
70,2024-08-21,West Vancouver,BC,Congregation Har El,synagogue,mass emailed bomb threat,Congregation Har El confirmed receiving the bomb threat during the national wave.,watch,False,,,,,,https://vancouver.citynews.ca/2024/08/21/bnai-brith-bc-threats/,
71,2024-08-21,Winnipeg,MB,Winnipeg Jewish organizations bomb-threat wave,synagogues / community institutions,threatening emails to Jewish organizations,Winnipeg Police said several local Jewish organizations received threatening emails as part of a nationwide bomb-threat campaign directed at synagogues and Jewish institutions.,watch,False,,,Winnipeg Police Service / RCMP,,,https://www.winnipeg.ca/police/community/news-releases/2024-08-22-bomb-threats-investigation,Winnipeg-specific local impact row for the national Aug. 21 bomb threat wave.
72,2024-08-21,Winnipeg,MB,Winnipeg synagogues cluster,Jewish institution,mass email cluster,Several Winnipeg synagogues filed police reports after receiving the malicious threats.,watch,False,,,,,,https://winnipeg.citynews.ca/2024/08/21/jewish-federation-of-winnipeg-confirms-theyve-received-threats/,
73,2024-08-21,York Region,ON,York Region Jewish institutions cluster,multiple institutions,mass email cluster,York Regional Police said Jewish institutes within York Region were included in the mass threat.,watch,False,,,,,,https://toronto.citynews.ca/2024/08/21/canada-jewish-hospitals-bomb-threats/,
